## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\soc_ref_cat\022118_02-[9afa5967-0263-4946-87fa-f016c07fbd0f]\022118_02-eye_data.idf
## Date:	21.02.2018 16:28:37
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	13862                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	022118_02                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(946;599)
## Calibration Point 1:	Position(720;428)
## Calibration Point 2:	Position(1315;502)
## Calibration Point 3:	Position(1253;828)
## Calibration Point 4:	Position(610;848)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
6100630181	SMP	1	1578.15	1055.84	1401.55	1083.88	12.09	12.09	2.99	11.61	11.61	3.05	1579.59	1060.82	1584.11	1060.61	1405.59	1088.43	1409.55	1088.21	1531.38	573.07	1548.34	642.23	0	1	1	2	-1	-1	-64.66	-81.72	855.51	-18.45	-94.71	908.25	0.27	0.35	-0.89	0.37	0.35	-0.86	0	 -1	
6100663513	SMP	1	1581.54	1055.82	1404.35	1083.46	11.85	11.85	3.01	11.46	11.46	3.06	1583.08	1060.86	1587.60	1060.84	1408.27	1088.24	1412.50	1088.04	1530.06	573.32	1543.88	642.12	0	1	1	2	-1	-1	-65.71	-81.89	856.91	-18.94	-93.09	893.19	0.28	0.36	-0.89	0.36	0.36	-0.86	0	 -1	
6100696847	SMP	1	1584.01	1056.17	1406.47	1083.94	11.97	11.97	3.02	11.49	11.49	3.06	1585.50	1061.21	1590.11	1061.20	1410.37	1088.37	1414.58	1088.30	1527.99	575.64	1545.54	645.33	0	1	1	2	-1	-1	-66.10	-81.64	853.22	-19.56	-93.27	894.34	0.28	0.36	-0.89	0.36	0.34	-0.87	0	 -1	
6100730161	SMP	1	1585.83	1056.71	1407.97	1084.11	12.01	12.01	3.04	11.49	11.49	3.08	1587.40	1061.73	1591.91	1061.51	1412.13	1088.79	1416.08	1088.62	1530.18	577.23	1550.10	643.35	0	1	1	2	-1	-1	-66.95	-82.18	857.69	-20.37	-94.99	909.82	0.28	0.36	-0.89	0.38	0.36	-0.85	0	 -1	
6100763493	SMP	1	1587.93	1057.00	1409.70	1084.14	11.84	11.84	3.04	11.31	11.31	3.08	1589.46	1061.91	1593.94	1061.84	1413.85	1088.85	1417.88	1088.98	1530.02	578.35	1549.08	638.72	0	1	1	2	-1	-1	-67.63	-82.40	859.25	-20.79	-94.65	906.04	0.28	0.36	-0.89	0.38	0.37	-0.85	0	 -1	
6100796826	SMP	1	1590.63	1056.29	1412.24	1083.77	11.68	11.68	3.04	11.61	11.61	3.10	1592.24	1061.38	1596.84	1061.28	1416.30	1088.52	1420.25	1088.53	1529.59	579.70	1549.08	636.25	0	1	1	2	-1	-1	-68.12	-81.92	855.78	-21.62	-95.15	911.87	0.29	0.36	-0.89	0.37	0.37	-0.85	0	 -1	
6100830161	SMP	1	1594.03	1055.22	1414.87	1082.36	12.22	12.22	3.06	11.38	11.38	3.10	1595.52	1060.28	1600.09	1060.31	1418.93	1087.38	1422.95	1087.37	1527.28	577.92	1549.02	632.38	0	1	1	2	-1	-1	-69.07	-81.71	856.58	-22.34	-94.61	909.88	0.28	0.37	-0.89	0.38	0.38	-0.84	0	 -1	
6100863525	SMP	1	1602.60	1051.19	1422.38	1077.95	12.08	12.08	3.07	11.44	11.44	3.11	1601.18	1057.31	1605.76	1057.50	1424.14	1084.23	1428.21	1084.50	1066.77	548.59	1297.86	536.71	0	1	1	2	-1	-1	-70.60	-80.91	856.36	-23.83	-93.63	908.79	0.12	0.43	-0.90	0.24	0.46	-0.85	0	 -1	
6100896806	SMP	1	1606.69	1048.53	1426.47	1075.21	11.57	11.57	3.06	11.32	11.32	3.11	1604.53	1055.25	1608.82	1055.42	1427.15	1082.13	1431.26	1082.25	915.21	479.65	1204.84	452.17	0	1	1	2	-1	-1	-72.15	-81.11	864.51	-24.67	-92.89	907.68	0.07	0.46	-0.88	0.18	0.49	-0.85	0	 -1	
6100930127	SMP	1	1608.60	1047.47	1427.89	1073.93	11.66	11.66	3.06	11.47	11.47	3.11	1606.08	1054.14	1610.66	1054.39	1428.38	1080.86	1432.52	1080.97	899.00	467.59	1182.67	439.01	0	1	1	2	-1	-1	-72.02	-80.16	857.52	-24.98	-92.36	906.06	0.06	0.46	-0.89	0.17	0.49	-0.85	0	 -1	
6100963467	SMP	1	1610.57	1046.95	1429.39	1073.45	11.83	11.83	3.06	11.51	11.51	3.11	1607.91	1053.63	1612.61	1053.65	1429.65	1080.37	1434.06	1080.40	894.80	462.99	1171.83	439.42	0	1	1	2	-1	-1	-72.29	-79.72	854.67	-25.08	-91.10	895.20	0.06	0.45	-0.89	0.17	0.49	-0.86	0	 -1	
6100996856	SMP	1	1612.60	1046.82	1430.71	1073.21	11.74	11.74	3.05	11.32	11.32	3.11	1609.86	1053.63	1614.49	1053.63	1431.40	1080.18	1435.43	1080.20	885.17	452.45	1178.10	433.77	0	1	1	2	-1	-1	-72.85	-79.76	855.12	-25.90	-92.38	908.37	0.05	0.46	-0.89	0.18	0.49	-0.85	0	 -1	
6101030114	SMP	1	1614.20	1046.88	1432.29	1073.02	11.80	11.80	3.05	11.54	11.54	3.11	1611.73	1053.63	1616.30	1053.74	1432.69	1079.84	1436.99	1079.99	888.52	449.07	1173.00	435.04	0	1	1	2	-1	-1	-73.46	-79.90	856.41	-26.00	-91.23	897.77	0.06	0.46	-0.89	0.17	0.49	-0.86	0	 -1	
