## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\soc_ref_cat\041718_02-[92eb1c2c-873e-4c53-bcad-3433849c739a]\041718_02-eye_data.idf
## Date:	17.04.2018 10:03:52
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	14431                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	041718_02                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(953;609)
## Calibration Point 1:	Position(720;455)
## Calibration Point 2:	Position(1300;524)
## Calibration Point 3:	Position(1232;844)
## Calibration Point 4:	Position(610;848)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2034855968	SMP	1	1365.52	611.15	1177.90	604.08	16.91	16.91	4.29	15.01	15.01	3.89	1364.21	615.48	1368.83	615.42	1179.54	608.99	1184.21	608.72	1080.53	677.87	1206.91	458.67	0	1	1	2	-1	-1	-6.16	38.56	844.03	43.34	40.40	845.61	0.06	0.19	-0.98	0.17	0.21	-0.96	0	 -1	
2034889295	SMP	1	1365.77	611.02	1178.22	604.15	16.95	16.95	4.29	15.28	15.28	3.89	1364.44	615.32	1369.22	615.24	1179.67	608.55	1184.52	608.42	1079.81	676.63	1204.22	461.00	0	1	1	2	-1	-1	-6.22	38.49	841.45	43.12	40.35	842.46	0.06	0.19	-0.98	0.16	0.19	-0.97	0	 -1	
2034922611	SMP	1	1366.08	610.53	1178.43	603.79	16.81	16.81	4.28	15.11	15.11	3.88	1364.56	614.75	1369.33	614.57	1180.18	608.30	1184.97	608.16	1077.95	676.36	1205.01	462.76	0	1	1	2	-1	-1	-6.26	38.66	841.59	43.02	40.44	842.99	0.05	0.18	-0.98	0.18	0.20	-0.96	0	 -1	
2034955946	SMP	1	1366.29	610.34	1178.81	603.43	16.75	16.75	4.27	15.21	15.21	3.87	1364.80	614.49	1369.46	614.42	1180.40	608.04	1185.16	607.79	1076.76	675.47	1201.38	464.84	0	1	1	2	-1	-1	-6.32	38.81	843.66	42.95	40.51	842.71	0.05	0.18	-0.98	0.17	0.20	-0.97	0	 -1	
2034989263	SMP	1	1366.54	609.06	1179.14	602.03	16.26	16.26	4.24	15.15	15.15	3.87	1365.37	614.03	1370.06	613.93	1181.00	607.26	1185.70	607.11	1080.34	667.76	1205.85	462.21	0	1	1	2	-1	-1	-6.48	38.95	843.89	42.81	40.72	843.03	0.07	0.22	-0.97	0.18	0.23	-0.96	0	 -1	
2035022602	SMP	1	1367.26	609.19	1179.88	602.03	16.88	16.88	4.25	14.66	14.66	3.84	1365.73	613.90	1370.53	613.75	1181.44	607.27	1186.08	607.11	1077.27	666.38	1203.08	461.79	0	1	1	2	-1	-1	-6.58	38.90	842.13	42.75	40.77	844.04	0.05	0.21	-0.98	0.16	0.23	-0.96	0	 -1	
2035055929	SMP	1	1367.91	608.84	1180.46	601.59	16.38	16.38	4.23	14.95	14.95	3.83	1366.58	613.78	1371.35	613.63	1182.22	607.01	1186.88	606.89	1079.66	660.46	1205.60	459.49	0	1	1	2	-1	-1	-6.80	38.94	842.20	42.56	40.85	844.43	0.07	0.22	-0.97	0.18	0.25	-0.95	0	 -1	
2035089267	SMP	1	1368.90	608.92	1181.38	601.78	16.45	16.45	4.22	14.64	14.64	3.81	1367.53	613.91	1372.27	613.76	1182.94	606.79	1187.73	606.80	1081.15	655.68	1205.63	458.71	0	1	1	2	-1	-1	-7.06	38.93	842.83	42.29	40.83	843.17	0.06	0.22	-0.97	0.17	0.23	-0.96	0	 -1	
2035122595	SMP	1	1369.73	608.82	1182.08	601.76	16.40	16.40	4.20	14.83	14.83	3.80	1368.48	614.17	1373.22	614.08	1183.69	606.82	1188.42	606.79	1083.43	644.96	1207.58	457.21	0	1	1	2	-1	-1	-7.31	38.87	843.05	42.11	40.84	843.42	0.07	0.24	-0.97	0.17	0.23	-0.96	0	 -1	
2035155931	SMP	1	1370.71	609.45	1183.02	601.88	16.38	16.38	4.19	14.79	14.79	3.79	1369.53	614.37	1374.34	614.31	1184.63	606.98	1189.26	606.91	1087.03	645.20	1207.86	455.90	0	1	1	2	-1	-1	-7.59	38.77	842.18	41.94	40.87	844.78	0.08	0.22	-0.97	0.17	0.23	-0.96	0	 -1	
