## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\soc_ref_cat\042418_02-[ccf3867d-89f1-44d6-b3d8-822d57171cc3]\042418_02-eye_data.idf
## Date:	24.04.2018 09:49:06
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	14601                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	042418_02                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(953;609)
## Calibration Point 1:	Position(727;439)
## Calibration Point 2:	Position(1314;503)
## Calibration Point 3:	Position(1260;823)
## Calibration Point 4:	Position(624;848)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
4283538595	SMP	1	1420.69	649.05	1170.19	673.09	14.59	14.59	3.00	15.25	15.25	3.19	1415.47	659.39	1422.75	659.31	1167.57	683.05	1174.54	683.20	923.30	573.28	859.26	504.05	0	1	1	2	-1	-1	-16.31	21.61	680.42	37.89	16.78	692.95	-0.05	0.42	-0.91	-0.01	0.42	-0.91	0	 -1	
4283571811	SMP	1	1419.91	649.20	1169.68	673.55	14.64	14.64	3.00	15.13	15.13	3.18	1414.86	659.54	1421.95	659.47	1166.99	683.55	1174.00	683.58	921.34	573.33	856.82	504.64	0	1	1	2	-1	-1	-16.18	21.61	681.46	37.99	16.68	692.62	-0.05	0.42	-0.91	-0.01	0.42	-0.91	0	 -1	
4283605141	SMP	1	1419.19	649.49	1168.93	674.15	14.61	14.61	3.00	15.29	15.29	3.18	1414.05	659.76	1421.27	659.70	1166.45	684.03	1173.33	684.24	920.90	573.48	856.76	505.43	0	1	1	2	-1	-1	-16.02	21.56	681.44	38.17	16.57	693.38	-0.05	0.42	-0.91	-0.01	0.42	-0.91	0	 -1	
4283638483	SMP	1	1418.47	649.33	1168.37	674.48	14.75	14.75	3.00	15.08	15.08	3.18	1413.38	659.81	1420.58	659.74	1165.87	684.47	1172.84	684.55	920.82	573.02	857.57	506.22	0	1	1	2	-1	-1	-15.88	21.56	681.67	38.28	16.49	693.32	-0.05	0.43	-0.90	0.00	0.42	-0.91	0	 -1	
4283671816	SMP	1	1417.99	649.62	1167.98	674.92	14.44	14.44	2.99	15.33	15.33	3.18	1412.82	660.06	1420.08	659.91	1165.35	684.97	1172.31	685.09	920.95	573.00	857.00	506.24	0	1	1	2	-1	-1	-15.76	21.51	681.44	38.40	16.38	693.38	-0.05	0.42	-0.90	-0.01	0.43	-0.90	0	 -1	
4283705151	SMP	1	1417.57	649.79	1167.62	675.19	14.76	14.76	3.00	15.13	15.13	3.17	1412.47	660.25	1419.75	660.11	1165.00	685.32	1171.97	685.41	921.18	572.77	857.46	506.16	0	1	1	2	-1	-1	-15.68	21.46	681.29	38.47	16.30	693.35	-0.04	0.43	-0.90	-0.01	0.43	-0.90	0	 -1	
4283738473	SMP	1	1417.50	649.89	1167.40	675.63	14.70	14.70	3.00	15.16	15.16	3.17	1412.36	660.36	1419.68	660.27	1164.80	685.70	1171.74	685.77	921.54	572.32	857.81	506.30	0	1	1	2	-1	-1	-15.66	21.42	680.90	38.53	16.22	693.44	-0.04	0.43	-0.90	-0.01	0.43	-0.90	0	 -1	
4283771806	SMP	1	1417.51	650.44	1167.25	675.94	14.69	14.69	3.00	15.21	15.21	3.17	1412.50	660.91	1419.69	660.81	1164.73	686.01	1171.68	686.16	922.38	571.89	857.83	505.76	0	1	1	2	-1	-1	-15.68	21.31	681.38	38.55	16.15	693.65	-0.04	0.43	-0.90	-0.01	0.43	-0.90	0	 -1	
4283805141	SMP	1	1417.76	651.15	1167.30	676.36	14.60	14.60	3.00	15.18	15.18	3.17	1412.64	661.59	1419.87	661.48	1164.76	686.40	1171.74	686.48	922.34	571.74	858.67	505.59	0	1	1	2	-1	-1	-15.72	21.17	681.33	38.54	16.07	693.58	-0.05	0.43	-0.90	-0.01	0.43	-0.90	0	 -1	
4283838470	SMP	1	1418.01	651.90	1167.27	676.89	14.71	14.71	3.00	15.24	15.24	3.17	1412.88	662.33	1420.07	662.27	1164.78	686.91	1171.75	687.08	922.46	571.40	859.61	505.31	0	1	1	2	-1	-1	-15.77	21.01	681.50	38.54	15.95	693.65	-0.05	0.43	-0.90	0.00	0.43	-0.90	0	 -1	
4283871799	SMP	1	1417.94	652.50	1167.14	677.48	14.92	14.92	3.01	15.37	15.37	3.18	1412.71	662.97	1420.01	662.90	1164.56	687.50	1171.55	687.63	921.98	570.91	860.43	505.09	0	1	1	2	-1	-1	-15.73	20.86	681.08	38.57	15.82	693.41	-0.05	0.43	-0.90	-0.01	0.43	-0.90	0	 -1	
4283905137	SMP	1	1417.07	652.71	1166.29	678.00	14.89	14.89	3.01	15.21	15.21	3.17	1411.87	663.12	1419.12	663.04	1163.78	688.07	1170.71	688.18	921.97	570.56	860.92	504.52	0	1	1	2	-1	-1	-15.55	20.82	681.04	38.77	15.70	693.70	-0.05	0.43	-0.90	-0.01	0.43	-0.90	0	 -1	
