## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\soc_ref_cat\042618_03-[b0727c59-7eec-4816-9943-12e69b7a6c56]\042618_03-eye_data.idf
## Date:	26.04.2018 11:03:48
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	13110                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	042618_03                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(907;540)
## Calibration Point 1:	Position(696;382)
## Calibration Point 2:	Position(1299;438)
## Calibration Point 3:	Position(1245;785)
## Calibration Point 4:	Position(614;771)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
6723167396	SMP	1	1528.23	833.51	1274.78	908.71	16.45	16.45	3.16	16.55	16.55	3.30	1523.03	845.98	1531.17	845.78	1272.71	920.24	1280.25	920.37	1004.80	451.06	1001.66	461.29	0	1	1	2	-1	-1	-36.97	-17.40	635.07	13.97	-33.52	657.21	0.00	0.53	-0.85	0.05	0.53	-0.85	0	 -1	
6723200615	SMP	1	1529.36	833.05	1275.57	908.19	16.42	16.42	3.16	16.72	16.72	3.30	1524.22	845.61	1532.25	845.25	1273.36	919.75	1280.91	919.81	1003.96	447.48	1000.14	459.49	0	1	1	2	-1	-1	-37.40	-17.40	638.56	13.86	-33.47	658.50	0.00	0.53	-0.85	0.05	0.53	-0.85	0	 -1	
6723233946	SMP	1	1529.55	833.16	1275.64	908.45	16.53	16.53	3.16	16.64	16.64	3.30	1524.34	845.71	1532.61	845.49	1273.50	920.02	1281.06	920.07	1003.62	446.08	999.67	457.24	0	1	1	2	-1	-1	-37.25	-17.34	635.10	13.85	-33.58	659.54	0.00	0.53	-0.85	0.05	0.53	-0.84	0	 -1	
6723267273	SMP	1	1533.42	831.67	1279.07	906.90	16.38	16.38	3.16	16.67	16.67	3.30	1526.02	845.10	1534.21	845.02	1275.21	919.39	1282.86	919.54	981.86	451.38	984.81	458.79	0	1	1	2	-1	-1	-37.69	-17.29	637.06	13.47	-33.44	659.23	-0.09	0.57	-0.82	-0.02	0.57	-0.82	0	 -1	
6723300607	SMP	1	1533.06	831.31	1278.92	906.51	16.20	16.20	3.15	16.39	16.39	3.29	1525.84	844.79	1533.73	844.86	1274.94	919.41	1282.52	919.47	970.32	449.57	972.16	457.41	0	1	1	2	-1	-1	-37.91	-17.37	641.87	13.57	-33.52	660.82	-0.09	0.57	-0.81	-0.02	0.59	-0.81	0	 -1	
6723333935	SMP	1	1532.87	831.71	1278.52	907.21	16.09	16.09	3.14	16.44	16.44	3.28	1525.71	845.19	1533.69	845.33	1274.42	920.13	1282.13	920.24	965.06	448.95	963.97	457.00	0	1	1	2	-1	-1	-37.90	-17.46	641.95	13.65	-33.64	660.12	-0.08	0.58	-0.81	-0.03	0.59	-0.81	0	 -1	
6723367228	SMP	1	1533.05	832.34	1278.63	908.04	16.04	16.04	3.13	16.14	16.14	3.27	1525.86	846.00	1533.90	846.13	1274.42	921.04	1282.14	921.13	959.73	446.57	956.71	454.82	0	1	1	2	-1	-1	-37.94	-17.63	642.11	13.66	-33.84	660.34	-0.08	0.58	-0.81	-0.03	0.59	-0.81	0	 -1	
6723400570	SMP	1	1533.32	833.07	1278.64	908.70	15.91	15.91	3.12	16.08	16.08	3.25	1526.09	846.84	1534.29	846.80	1274.49	921.68	1282.22	921.76	955.10	445.75	952.06	453.99	0	1	1	2	-1	-1	-37.93	-17.75	640.83	13.64	-33.97	660.40	-0.08	0.58	-0.81	-0.03	0.59	-0.81	0	 -1	
6723433965	SMP	1	1537.08	830.09	1282.10	905.95	15.36	15.36	3.09	15.67	15.67	3.23	1528.58	845.59	1536.00	845.73	1276.96	920.81	1284.40	920.59	918.92	445.66	926.88	452.19	0	1	1	2	-1	-1	-38.43	-17.58	642.98	13.21	-33.89	662.98	-0.16	0.66	-0.74	-0.07	0.66	-0.75	0	 -1	
6723467237	SMP	1	0.00	0.00	1285.63	904.16	0.00	0.00	0.00	15.53	15.53	3.19	0.00	0.00	0.00	0.00	1278.97	920.25	1286.77	920.23	0.00	0.00	877.82	453.19	0	0	1	1	-1	-1	0.00	0.00	0.00	12.54	-33.09	649.10	0.00	0.00	0.00	-0.14	0.70	-0.71	0	 -1	
