## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\soc_ref_cat\050318_04-[50f419cc-09a2-4911-a769-16534472b150]\050318_04-eye_data.idf
## Date:	03.05.2018 11:01:31
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	14638                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	050318_04                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(907;540)
## Calibration Point 1:	Position(696;382)
## Calibration Point 2:	Position(1299;438)
## Calibration Point 3:	Position(1245;785)
## Calibration Point 4:	Position(614;771)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
5990767889	SMP	1	1498.69	947.74	1271.84	984.30	15.48	15.48	3.06	14.43	14.43	2.96	1498.69	947.17	1506.62	947.13	1274.39	983.71	1281.65	983.92	934.44	241.67	914.43	188.07	0	1	1	2	-1	-1	-32.86	-38.75	651.20	14.09	-48.28	678.75	0.21	0.03	-0.98	0.25	0.05	-0.97	0	 -1	
5990801225	SMP	1	1502.75	949.18	1275.79	984.32	15.64	15.64	3.06	14.79	14.79	2.97	1502.82	948.55	1510.81	948.63	1278.27	983.74	1285.57	984.00	934.21	241.06	913.69	187.51	0	1	1	2	-1	-1	-33.68	-39.01	650.53	13.25	-48.29	678.66	0.22	0.03	-0.97	0.25	0.05	-0.97	0	 -1	
5990834552	SMP	1	1506.48	950.85	1279.00	984.76	15.67	15.67	3.06	14.56	14.56	2.97	1506.48	950.31	1514.27	950.19	1281.64	984.21	1288.85	984.41	930.76	240.58	915.14	187.36	0	1	1	2	-1	-1	-34.48	-39.42	651.67	12.54	-48.41	679.04	0.21	0.03	-0.98	0.26	0.05	-0.97	0	 -1	
5990867932	SMP	1	1509.16	952.82	1281.73	985.81	15.61	15.61	3.06	14.28	14.28	2.96	1509.36	952.35	1517.06	952.27	1284.29	985.20	1291.59	985.40	932.48	241.42	915.03	186.33	0	1	1	2	-1	-1	-35.12	-39.91	652.75	11.96	-48.62	678.91	0.22	0.04	-0.97	0.26	0.05	-0.97	0	 -1	
5990901205	SMP	1	1511.42	954.02	1283.98	986.22	15.58	15.58	3.06	14.55	14.55	2.96	1511.53	953.51	1519.44	953.54	1286.49	985.63	1293.76	985.85	933.16	241.85	914.73	185.41	0	1	1	2	-1	-1	-35.53	-40.09	651.61	11.49	-48.71	678.97	0.22	0.04	-0.97	0.25	0.05	-0.97	0	 -1	
5990934528	SMP	1	1513.23	955.25	1285.71	986.87	15.54	15.54	3.06	14.29	14.29	2.95	1513.39	954.65	1521.06	954.84	1288.14	986.54	1295.43	986.67	931.79	241.19	913.29	185.62	0	1	1	2	-1	-1	-36.00	-40.47	653.53	11.13	-48.90	678.91	0.22	0.04	-0.97	0.25	0.06	-0.97	0	 -1	
5990967870	SMP	1	1514.63	955.57	1286.86	986.93	15.74	15.74	3.06	14.30	14.30	2.95	1514.61	954.94	1522.54	955.09	1289.51	986.61	1296.78	986.72	929.49	240.65	915.93	186.13	0	1	1	2	-1	-1	-36.19	-40.43	652.06	10.84	-48.92	678.99	0.22	0.04	-0.98	0.26	0.06	-0.96	0	 -1	
5991001190	SMP	1	1515.66	955.73	1287.99	987.23	15.67	15.67	3.07	14.50	14.50	2.95	1515.63	955.21	1523.57	955.16	1290.51	986.66	1297.80	986.87	929.15	240.61	914.96	185.82	0	1	1	2	-1	-1	-36.40	-40.45	651.87	10.62	-48.93	678.95	0.22	0.04	-0.98	0.26	0.05	-0.97	0	 -1	
5991034533	SMP	1	1515.20	954.84	1287.31	986.21	15.70	15.70	3.07	14.44	14.44	2.95	1515.65	954.34	1523.58	954.29	1290.54	985.89	1297.68	985.98	944.10	242.77	943.95	188.84	0	1	1	2	-1	-1	-36.39	-40.27	651.78	10.64	-48.80	679.59	0.24	0.04	-0.97	0.28	0.06	-0.96	0	 -1	
5991067860	SMP	1	1515.31	953.94	1287.28	985.38	15.65	15.65	3.07	14.41	14.41	2.95	1515.82	953.44	1523.72	953.46	1290.59	984.93	1297.69	985.06	958.33	244.46	964.52	190.11	0	1	1	2	-1	-1	-36.43	-40.10	651.93	10.65	-48.65	680.34	0.24	0.04	-0.97	0.29	0.05	-0.96	0	 -1	
