## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\soc_ref_cat\050418_02-[72398c79-421b-441c-8e29-e43f8e0bed19]\050418_02-eye_data.idf
## Date:	04.05.2018 09:14:42
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	14453                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	050418_02                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(948;555)
## Calibration Point 1:	Position(696;382)
## Calibration Point 2:	Position(1309;465)
## Calibration Point 3:	Position(1245;785)
## Calibration Point 4:	Position(614;771)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2477462024	SMP	1	1492.17	949.10	1282.51	951.89	11.82	11.82	2.99	11.49	11.49	2.88	1485.20	952.97	1489.85	953.20	1277.83	956.32	1282.68	956.36	536.88	696.41	659.27	606.11	0	1	1	2	-1	-1	-38.72	-52.05	847.86	16.81	-52.33	838.28	-0.21	0.28	-0.94	-0.14	0.30	-0.94	0	 -1	
2477495247	SMP	1	1491.62	952.13	1282.04	954.57	11.79	11.79	2.99	11.66	11.66	2.89	1484.89	956.00	1489.50	956.20	1277.46	958.70	1282.28	958.66	538.87	693.91	663.50	607.73	0	1	1	2	-1	-1	-38.67	-52.92	848.69	16.90	-52.92	837.84	-0.20	0.28	-0.94	-0.14	0.28	-0.95	0	 -1	
2477528592	SMP	1	1492.00	955.23	1282.33	955.75	11.83	11.83	3.00	11.49	11.49	2.89	1485.13	959.07	1489.73	959.26	1277.66	960.21	1282.46	960.13	535.74	692.73	663.20	607.15	0	1	1	2	-1	-1	-38.75	-53.76	849.07	16.85	-53.31	837.68	-0.21	0.28	-0.94	-0.14	0.30	-0.94	0	 -1	
2477561915	SMP	1	1492.88	958.57	1283.26	956.29	12.11	12.11	3.02	11.52	11.52	2.89	1486.01	962.25	1490.64	962.37	1278.61	960.45	1283.41	960.53	535.93	693.30	665.31	609.45	0	1	1	2	-1	-1	-39.00	-54.62	849.20	16.60	-53.39	837.57	-0.21	0.27	-0.94	-0.14	0.29	-0.95	0	 -1	
2477595217	SMP	1	1494.45	961.53	1284.65	956.42	11.76	11.76	3.01	11.64	11.64	2.90	1487.49	965.26	1492.25	965.40	1279.77	960.53	1284.63	960.59	534.52	694.09	664.79	612.26	0	1	1	2	-1	-1	-39.37	-55.36	848.16	16.27	-53.37	836.96	-0.21	0.27	-0.94	-0.15	0.28	-0.95	0	 -1	
2477628571	SMP	1	1496.08	964.05	1286.27	956.10	11.96	11.96	3.02	11.51	11.51	2.90	1489.07	967.63	1493.71	967.68	1281.64	960.39	1286.44	960.41	534.25	696.63	666.53	612.83	0	1	1	2	-1	-1	-39.80	-56.02	848.61	15.78	-53.32	836.95	-0.21	0.26	-0.94	-0.14	0.29	-0.95	0	 -1	
2477661886	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
2477695222	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
2477728547	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
2477761884	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
