## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\soc_ref_cat\020218_02-[90e7beef-893b-41cb-b85c-dee0f81d9d91]\020218_02-eye_data.idf
## Date:	02.02.2018 16:33:57
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	15732                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	020218_02                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2534113493	SMP	1	1499.52	796.28	1292.91	798.98	12.48	12.48	2.99	12.34	12.34	3.00	1493.53	806.46	1498.59	806.25	1289.17	809.03	1294.15	809.03	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-39.42	-12.11	814.86	13.53	-12.93	823.31	-0.14	0.54	-0.83	-0.08	0.54	-0.84	0		
2534146821	SMP	1	1494.31	794.57	1287.22	797.89	12.54	12.54	3.00	12.39	12.39	3.01	1490.81	804.41	1495.83	804.38	1286.43	807.66	1291.40	807.69	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-38.73	-11.61	815.24	14.25	-12.58	823.57	-0.01	0.53	-0.85	0.08	0.53	-0.85	0	 -1	
2534180176	SMP	1	1488.69	793.79	1282.17	797.69	12.76	12.76	3.02	12.39	12.39	3.02	1487.98	802.95	1493.07	802.90	1283.69	806.84	1289.05	807.05	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-37.97	-11.22	814.50	14.76	-12.26	815.04	0.14	0.49	-0.86	0.20	0.50	-0.84	0	 -1	
2534213486	SMP	1	1489.17	792.00	1282.05	796.39	12.95	12.95	3.05	12.48	12.48	3.02	1488.50	801.19	1493.49	801.09	1283.55	805.56	1288.94	805.82	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-38.12	-10.76	815.11	14.69	-11.85	808.88	0.13	0.49	-0.86	0.20	0.49	-0.85	0	 -1	
2534246816	SMP	1	1489.35	790.22	1281.82	795.15	12.94	12.94	3.07	12.54	12.54	3.02	1488.62	799.41	1493.67	799.38	1283.39	804.31	1288.73	804.58	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-38.15	-10.31	814.93	14.70	-11.51	807.19	0.13	0.49	-0.86	0.20	0.49	-0.85	0	 -1	
2534280147	SMP	1	1489.25	788.27	1281.46	793.64	13.00	13.00	3.09	12.45	12.45	3.02	1488.60	797.44	1493.69	797.38	1283.16	802.79	1288.38	803.01	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-38.14	-9.80	814.76	14.84	-11.16	810.86	0.14	0.49	-0.86	0.21	0.49	-0.85	0	 -1	
2534313488	SMP	1	1489.18	785.96	1281.06	791.68	12.98	12.98	3.10	12.33	12.33	3.01	1488.51	795.16	1493.58	795.04	1282.68	800.81	1288.13	801.04	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-38.12	-9.20	814.87	14.72	-10.50	798.89	0.14	0.49	-0.86	0.21	0.48	-0.85	0	 -1	
2534346811	SMP	1	1488.82	784.01	1280.60	789.61	12.87	12.87	3.11	12.47	12.47	3.01	1488.20	793.11	1493.34	793.10	1282.27	798.85	1287.49	799.03	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-38.02	-8.68	814.21	15.00	-10.09	807.02	0.14	0.48	-0.86	0.21	0.49	-0.85	0	 -1	
2534380148	SMP	1	1485.63	781.96	1277.87	787.77	12.71	12.71	3.11	12.25	12.25	2.97	1486.42	791.30	1491.51	791.41	1280.95	797.35	1287.07	798.10	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-37.55	-8.23	814.14	14.21	-9.13	753.55	0.21	0.50	-0.84	0.28	0.49	-0.83	0	 -1	
2534413532	SMP	1	1485.54	780.69	1277.36	786.70	12.79	12.79	3.11	12.42	12.42	2.94	1486.17	790.06	1491.17	790.13	1280.34	796.21	1286.35	796.91	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-37.51	-7.91	814.93	14.33	-8.83	751.05	0.20	0.50	-0.84	0.27	0.48	-0.83	0	 -1	
