condition,trial,set,creature,morph,prototypes,xbox_color,ybox_color
pilot1,1,A,x,90,color,b,r
pilot1,2,A,y,90,color,b,r
pilot1,3,A,y,60,color,b,r
pilot1,4,A,x,60,color,b,r
pilot1,5,A,x,100,color,b,r
pilot1,6,B,x,100,color,r,b
pilot1,7,B,y,100,color,r,b
pilot1,8,B,x,60,color,r,b
pilot1,9,B,y,60,color,r,b
pilot1,55,B,mid,50,color,r,b
pilot1,11,B,y,70,color,r,b
pilot1,12,B,x,70,color,r,b
pilot1,13,B,y,100,color,r,b
pilot1,14,B,x,60,color,r,b
pilot1,15,B,mid,50,color,r,b
pilot1,16,B,y,60,color,r,b
pilot1,17,B,y,70,color,r,b
pilot1,18,B,x,70,color,r,b
pilot1,19,B,x,100,color,r,b
pilot2,1,A,y,90,color,b,r
pilot2,2,A,x,90,color,b,r
pilot2,3,A,y,60,color,b,r
pilot2,4,A,x,60,color,b,r
pilot2,5,A,x,100,color,b,r
pilot2,6,B,x,100,color,r,b
pilot2,7,B,y,100,color,r,b
pilot2,8,B,x,60,color,r,b
pilot2,9,B,y,60,color,r,b
pilot2,55,B,mid,50,color,r,b
pilot2,11,B,y,70,color,r,b
pilot2,12,B,x,70,color,r,b
pilot2,13,B,y,100,color,r,b
pilot2,14,B,x,60,color,r,b
pilot2,15,B,mid,50,color,r,b
pilot2,16,B,y,60,color,r,b
pilot2,17,B,y,70,color,r,b
pilot2,18,B,x,70,color,r,b
pilot2,19,B,x,100,color,r,b
pilot3,1,A,y,90,none,b,r
pilot3,2,A,x,90,none,b,r
pilot3,3,A,x,60,none,b,r
pilot3,4,A,y,60,none,b,r
pilot3,5,A,x,100,none,b,r
pilot3,6,B,x,100,none,r,b
pilot3,7,B,y,100,none,r,b
pilot3,8,B,y,70,none,r,b
pilot3,9,B,x,70,none,r,b
pilot3,55,B,mid,50,none,r,b
pilot3,11,B,x,60,none,r,b
pilot3,12,B,y,60,none,r,b
pilot3,13,B,y,70,none,r,b
pilot3,14,B,x,70,none,r,b
pilot3,15,B,x,100,none,r,b
pilot3,16,B,y,100,none,r,b
pilot3,17,B,x,60,none,r,b
pilot3,18,B,mid,50,none,r,b
pilot3,19,B,y,60,none,r,b
pilot4,1,A,x,90,blue,b,r
pilot4,2,A,y,90,blue,b,r
pilot4,3,A,y,55,blue,b,r
pilot4,4,A,x,55,blue,b,r
pilot4,5,A,x,90,blue,b,r
pilot4,6,A,x,100,blue,b,r
pilot4,7,A,y,100,blue,b,r
pilot4,8,A,mid,50,blue,b,r
pilot4,9,A,x,70,blue,b,r
pilot4,55,A,y,60,blue,b,r
pilot4,11,A,x,60,blue,b,r
pilot4,12,A,y,70,blue,b,r
pilot4,13,A,x,100,blue,b,r
pilot4,14,A,x,70,blue,b,r
pilot4,15,A,y,70,blue,b,r
pilot4,16,A,y,60,blue,b,r
pilot4,17,A,mid,50,blue,b,r
pilot4,18,A,x,60,blue,b,r
pilot4,19,A,y,100,blue,b,r
pilot4,60,B,x,100,blue,r,b
pilot4,21,B,y,100,blue,r,b
pilot4,22,B,x,70,blue,r,b
pilot4,23,B,y,60,blue,r,b
pilot4,24,B,mid,50,blue,r,b
pilot4,25,B,x,60,blue,r,b
pilot4,26,B,y,70,blue,r,b
pilot4,27,B,x,100,blue,r,b
pilot4,28,B,y,60,blue,r,b
pilot4,29,B,x,60,blue,r,b
pilot4,350,B,mid,50,blue,r,b
pilot4,31,B,y,70,blue,r,b
pilot4,32,B,y,100,blue,r,b
pilot4,33,B,x,70,blue,r,b
pilot5,1,A,x,90,blue,b,r
pilot5,2,A,y,90,blue,b,r
pilot5,3,A,y,55,blue,b,r
pilot5,4,A,x,55,blue,b,r
pilot5,5,A,x,90,blue,b,r
pilot5,6,A,x,100,blue,b,r
pilot5,7,A,y,100,blue,b,r
pilot5,8,A,y,60,blue,b,r
pilot5,9,A,x,60,blue,b,r
pilot5,55,A,y,70,blue,b,r
pilot5,11,A,mid,50,blue,b,r
pilot5,12,A,x,70,blue,b,r
pilot5,13,A,y,60,blue,b,r
pilot5,14,A,mid,50,blue,b,r
pilot5,15,A,x,60,blue,b,r
pilot5,16,A,y,100,blue,b,r
pilot5,17,A,x,100,blue,b,r
pilot5,18,A,x,70,blue,b,r
pilot5,19,A,y,70,blue,b,r
pilot5,60,B,x,100,blue,r,b
pilot5,21,B,y,100,blue,r,b
pilot5,22,B,mid,50,blue,r,b
pilot5,23,B,x,60,blue,r,b
pilot5,24,B,y,70,blue,r,b
pilot5,25,B,x,70,blue,r,b
pilot5,26,B,y,60,blue,r,b
pilot5,27,B,mid,50,blue,r,b
pilot5,28,B,y,70,blue,r,b
pilot5,29,B,y,100,blue,r,b
pilot5,350,B,x,70,blue,r,b
pilot5,31,B,x,100,blue,r,b
pilot5,32,B,y,60,blue,r,b
pilot5,33,B,x,60,blue,r,b
pilot6,1,A,x,90,shadow,b,r
pilot6,2,A,y,90,shadow,b,r
pilot6,3,A,y,55,shadow,b,r
pilot6,4,A,x,55,shadow,b,r
pilot6,5,A,x,90,shadow,b,r
pilot6,6,A,x,100,shadow,b,r
pilot6,7,A,y,100,shadow,b,r
pilot6,8,A,mid,50,shadow,b,r
pilot6,9,A,x,70,shadow,b,r
pilot6,55,A,y,60,shadow,b,r
pilot6,11,A,x,60,shadow,b,r
pilot6,12,A,y,70,shadow,b,r
pilot6,13,A,x,100,shadow,b,r
pilot6,14,A,x,70,shadow,b,r
pilot6,15,A,y,70,shadow,b,r
pilot6,16,A,y,60,shadow,b,r
pilot6,17,A,mid,50,shadow,b,r
pilot6,18,A,x,60,shadow,b,r
pilot6,19,A,y,100,shadow,b,r
pilot6,60,B,x,100,shadow,b,r
pilot6,21,B,y,100,shadow,b,r
pilot6,22,B,x,70,shadow,b,r
pilot6,23,B,y,60,shadow,b,r
pilot6,24,B,mid,50,shadow,b,r
pilot6,25,B,x,60,shadow,b,r
pilot6,26,B,y,70,shadow,b,r
pilot6,27,B,x,100,shadow,b,r
pilot6,28,B,y,60,shadow,b,r
pilot6,29,B,x,60,shadow,b,r
pilot6,350,B,mid,50,shadow,b,r
pilot6,31,B,y,70,shadow,b,r
pilot6,32,B,y,100,shadow,b,r
pilot6,33,B,x,70,shadow,b,r
pilot7,1,B,x,90,shadow,b,r
pilot7,2,B,y,90,shadow,b,r
pilot7,3,B,y,55,shadow,b,r
pilot7,4,B,x,55,shadow,b,r
pilot7,5,B,x,90,shadow,b,r
pilot7,6,B,x,100,shadow,b,r
pilot7,7,B,y,100,shadow,b,r
pilot7,8,B,mid,50,shadow,b,r
pilot7,9,B,x,70,shadow,b,r
pilot7,55,B,y,60,shadow,b,r
pilot7,11,B,x,60,shadow,b,r
pilot7,12,B,y,70,shadow,b,r
pilot7,13,B,x,100,shadow,b,r
pilot7,14,B,x,70,shadow,b,r
pilot7,15,B,y,70,shadow,b,r
pilot7,16,B,y,60,shadow,b,r
pilot7,17,B,mid,50,shadow,b,r
pilot7,18,B,x,60,shadow,b,r
pilot7,19,B,y,100,shadow,b,r
pilot7,60,A,x,100,shadow,b,r
pilot7,21,A,y,100,shadow,b,r
pilot7,22,A,x,70,shadow,b,r
pilot7,23,A,y,60,shadow,b,r
pilot7,24,A,mid,50,shadow,b,r
pilot7,25,A,x,60,shadow,b,r
pilot7,26,A,y,70,shadow,b,r
pilot7,27,A,x,100,shadow,b,r
pilot7,28,A,y,60,shadow,b,r
pilot7,29,A,x,60,shadow,b,r
pilot7,350,A,mid,50,shadow,b,r
pilot7,31,A,y,70,shadow,b,r
pilot7,32,A,y,100,shadow,b,r
pilot7,33,A,x,70,shadow,b,r
pilot8,1,A,x,90,blue,b,r
pilot8,2,A,y,90,blue,b,r
pilot8,3,A,y,55,blue,b,r
pilot8,4,A,x,55,blue,b,r
pilot8,5,A,x,90,blue,b,r
pilot8,6,A,x,100,blue,b,r
pilot8,7,A,y,100,blue,b,r
pilot8,8,A,mid,50,blue,b,r
pilot8,9,A,x,70,blue,b,r
pilot8,55,A,y,60,blue,b,r
pilot8,11,A,x,60,blue,b,r
pilot8,12,A,y,70,blue,b,r
pilot8,13,A,x,100,blue,b,r
pilot8,14,A,x,70,blue,b,r
pilot8,15,A,y,70,blue,b,r
pilot8,16,A,y,60,blue,b,r
pilot8,17,A,mid,50,blue,b,r
pilot8,18,A,x,60,blue,b,r
pilot8,19,A,y,100,blue,b,r
pilot8,60,B,x,100,blue,b,r
pilot8,21,B,y,100,blue,b,r
pilot8,22,B,x,70,blue,b,r
pilot8,23,B,y,60,blue,b,r
pilot8,24,B,mid,50,blue,b,r
pilot8,25,B,x,60,blue,b,r
pilot8,26,B,y,70,blue,b,r
pilot8,27,B,x,100,blue,b,r
pilot8,28,B,y,60,blue,b,r
pilot8,29,B,x,60,blue,b,r
pilot8,350,B,mid,50,blue,b,r
pilot8,31,B,y,70,blue,b,r
pilot8,32,B,y,100,blue,b,r
pilot8,33,B,x,70,blue,b,r
pilot9,1,A,x,90,blue,b,r
pilot9,2,A,y,90,blue,b,r
pilot9,3,A,y,55,blue,b,r
pilot9,4,A,x,55,blue,b,r
pilot9,5,A,x,90,blue,b,r
pilot9,6,A,x,100,blue,b,r
pilot9,7,A,y,100,blue,b,r
pilot9,8,A,y,60,blue,b,r
pilot9,9,A,x,60,blue,b,r
pilot9,55,A,y,70,blue,b,r
pilot9,11,A,mid,50,blue,b,r
pilot9,12,A,x,70,blue,b,r
pilot9,13,A,y,60,blue,b,r
pilot9,14,A,mid,50,blue,b,r
pilot9,15,A,x,60,blue,b,r
pilot9,16,A,y,100,blue,b,r
pilot9,17,A,x,100,blue,b,r
pilot9,18,A,x,70,blue,b,r
pilot9,19,A,y,70,blue,b,r
pilot9,60,B,x,100,blue,b,r
pilot9,21,B,y,100,blue,b,r
pilot9,22,B,mid,50,blue,b,r
pilot9,23,B,x,60,blue,b,r
pilot9,24,B,y,70,blue,b,r
pilot9,25,B,x,70,blue,b,r
pilot9,26,B,y,60,blue,b,r
pilot9,27,B,mid,50,blue,b,r
pilot9,28,B,y,70,blue,b,r
pilot9,29,B,y,100,blue,b,r
pilot9,350,B,x,70,blue,b,r
pilot9,31,B,x,100,blue,b,r
pilot9,32,B,y,60,blue,b,r
pilot9,33,B,x,60,blue,b,r
pilot55,1,B,x,90,shadow,b,r
pilot55,2,B,y,90,shadow,b,r
pilot55,3,B,y,55,shadow,b,r
pilot55,4,B,x,55,shadow,b,r
pilot55,5,B,x,90,shadow,b,r
pilot55,6,B,x,100,shadow,b,r
pilot55,7,B,y,100,shadow,b,r
pilot55,8,B,y,60,shadow,b,r
pilot55,9,B,x,60,shadow,b,r
pilot55,55,B,y,70,shadow,b,r
pilot55,11,B,mid,50,shadow,b,r
pilot55,12,B,x,70,shadow,b,r
pilot55,13,B,y,60,shadow,b,r
pilot55,14,B,mid,50,shadow,b,r
pilot55,15,B,x,60,shadow,b,r
pilot55,16,B,y,100,shadow,b,r
pilot55,17,B,x,100,shadow,b,r
pilot55,18,B,x,70,shadow,b,r
pilot55,19,B,y,70,shadow,b,r
pilot55,60,A,y,100,shadow,b,r
pilot55,21,A,x,100,shadow,b,r
pilot55,22,A,mid,50,shadow,b,r
pilot55,23,A,x,60,shadow,b,r
pilot55,24,A,y,70,shadow,b,r
pilot55,25,A,x,70,shadow,b,r
pilot55,26,A,y,60,shadow,b,r
pilot55,27,A,mid,50,shadow,b,r
pilot55,28,A,y,70,shadow,b,r
pilot55,29,A,y,100,shadow,b,r
pilot55,350,A,x,70,shadow,b,r
pilot55,31,A,x,100,shadow,b,r
pilot55,32,A,y,60,shadow,b,r
pilot55,33,A,x,60,shadow,b,r
pilot11,1,A,x,90,shadow,b,r
pilot11,2,A,y,90,shadow,b,r
pilot11,3,A,y,55,shadow,b,r
pilot11,4,A,x,55,shadow,b,r
pilot11,5,A,x,90,shadow,b,r
pilot11,6,A,x,100,shadow,b,r
pilot11,7,A,y,100,shadow,b,r
pilot11,8,A,y,60,shadow,b,r
pilot11,9,A,x,60,shadow,b,r
pilot11,55,A,y,70,shadow,b,r
pilot11,11,A,mid,50,shadow,b,r
pilot11,12,A,x,70,shadow,b,r
pilot11,13,A,y,60,shadow,b,r
pilot11,14,A,mid,50,shadow,b,r
pilot11,15,A,x,60,shadow,b,r
pilot11,16,A,y,100,shadow,b,r
pilot11,17,A,x,100,shadow,b,r
pilot11,18,A,x,70,shadow,b,r
pilot11,19,A,y,70,shadow,b,r
pilot11,60,B,y,100,shadow,b,r
pilot11,21,B,x,100,shadow,b,r
pilot11,22,B,mid,50,shadow,b,r
pilot11,23,B,x,60,shadow,b,r
pilot11,24,B,y,70,shadow,b,r
pilot11,25,B,x,70,shadow,b,r
pilot11,26,B,y,60,shadow,b,r
pilot11,27,B,mid,50,shadow,b,r
pilot11,28,B,y,70,shadow,b,r
pilot11,29,B,y,100,shadow,b,r
pilot11,350,B,x,70,shadow,b,r
pilot11,31,B,x,100,shadow,b,r
pilot11,32,B,y,60,shadow,b,r
pilot11,33,B,x,60,shadow,b,r
pilot12,1,A,x,90,none,b,r
pilot12,2,A,y,90,none,b,r
pilot12,3,A,y,55,none,b,r
pilot12,4,A,x,55,none,b,r
pilot12,5,A,x,90,none,b,r
pilot12,6,A,x,100,none,b,r
pilot12,7,A,y,100,none,b,r
pilot12,8,A,y,60,none,b,r
pilot12,9,A,x,60,none,b,r
pilot12,55,A,y,70,none,b,r
pilot12,11,A,mid,50,none,b,r
pilot12,12,A,x,70,none,b,r
pilot12,13,A,y,60,none,b,r
pilot12,14,A,mid,50,none,b,r
pilot12,15,A,x,60,none,b,r
pilot12,16,A,y,100,none,b,r
pilot12,17,A,x,100,none,b,r
pilot12,18,A,x,70,none,b,r
pilot12,19,A,y,70,none,b,r
pilot12,60,B,x,100,none,b,r
pilot12,21,B,y,100,none,b,r
pilot12,22,B,mid,50,none,b,r
pilot12,23,B,x,60,none,b,r
pilot12,24,B,y,70,none,b,r
pilot12,25,B,x,70,none,b,r
pilot12,26,B,y,60,none,b,r
pilot12,27,B,mid,50,none,b,r
pilot12,28,B,y,70,none,b,r
pilot12,29,B,y,100,none,b,r
pilot12,350,B,x,70,none,b,r
pilot12,31,B,x,100,none,b,r
pilot12,32,B,y,60,none,b,r
pilot12,33,B,x,60,none,b,r
pilot13,1,A,x,90,none,g,r
pilot13,2,A,y,90,none,g,r
pilot13,3,A,y,55,none,g,r
pilot13,4,A,x,55,none,g,r
pilot13,5,A,x,90,none,g,r
pilot13,6,A,y,100,none,g,r
pilot13,7,A,x,100,none,g,r
pilot13,8,A,y,60,none,g,r
pilot13,9,A,y,70,none,g,r
pilot13,55,A,x,60,none,g,r
pilot13,11,A,mid,50,none,g,r
pilot13,12,A,x,70,none,g,r
pilot13,13,A,y,60,none,g,r
pilot13,14,A,y,100,none,g,r
pilot13,15,A,x,60,none,g,r
pilot13,16,A,mid,50,none,g,r
pilot13,17,A,x,100,none,g,r
pilot13,18,A,y,70,none,g,r
pilot13,19,A,x,70,none,g,r
pilot13,60,B,x,100,none,g,r
pilot13,21,B,y,100,none,g,r
pilot13,22,B,x,60,none,g,r
pilot13,23,B,x,70,none,g,r
pilot13,24,B,y,60,none,g,r
pilot13,25,B,mid,50,none,g,r
pilot13,26,B,y,70,none,g,r
pilot13,27,B,mid,50,none,g,r
pilot13,28,B,x,70,none,g,r
pilot13,29,B,y,100,none,g,r
pilot13,350,B,x,100,none,g,r
pilot13,31,B,x,60,none,g,r
pilot13,32,B,y,70,none,g,r
pilot13,33,B,y,60,none,g,r
pilot14,1,B,x,90,none,g,r
pilot14,2,B,y,90,none,g,r
pilot14,3,B,y,55,none,g,r
pilot14,4,B,x,55,none,g,r
pilot14,5,B,x,90,none,g,r
pilot14,6,B,y,100,none,g,r
pilot14,7,B,x,100,none,g,r
pilot14,8,B,mid,50,none,g,r
pilot14,9,B,x,70,none,g,r
pilot14,55,B,y,60,none,g,r
pilot14,11,B,y,70,none,g,r
pilot14,12,B,x,60,none,g,r
pilot14,13,B,x,100,none,g,r
pilot14,14,B,y,70,none,g,r
pilot14,15,B,x,70,none,g,r
pilot14,16,B,y,60,none,g,r
pilot14,17,B,y,100,none,g,r
pilot14,18,B,x,60,none,g,r
pilot14,19,B,mid,50,none,g,r
pilot14,60,A,x,100,none,g,r
pilot14,21,A,y,100,none,g,r
pilot14,22,A,y,70,none,g,r
pilot14,23,A,x,60,none,g,r
pilot14,24,A,x,70,none,g,r
pilot14,25,A,y,60,none,g,r
pilot14,26,A,mid,50,none,g,r
pilot14,27,A,x,100,none,g,r
pilot14,28,A,x,60,none,g,r
pilot14,29,A,y,70,none,g,r
pilot14,350,A,y,60,none,g,r
pilot14,31,A,mid,50,none,g,r
pilot14,32,A,x,70,none,g,r
pilot14,33,A,y,100,none,g,r
pilot15,1,B,x,90,none,g,r
pilot15,2,B,y,90,none,g,r
pilot15,3,B,y,55,none,g,r
pilot15,4,B,x,55,none,g,r
pilot15,5,B,x,90,none,g,r
pilot15,6,B,y,100,none,g,r
pilot15,7,B,x,100,none,g,r
pilot15,8,B,y,60,none,g,r
pilot15,9,B,y,70,none,g,r
pilot15,55,B,x,60,none,g,r
pilot15,11,B,mid,50,none,g,r
pilot15,12,B,x,70,none,g,r
pilot15,13,B,y,60,none,g,r
pilot15,14,B,y,100,none,g,r
pilot15,15,B,x,60,none,g,r
pilot15,16,B,mid,50,none,g,r
pilot15,17,B,x,100,none,g,r
pilot15,18,B,y,70,none,g,r
pilot15,19,B,x,70,none,g,r
pilot15,60,A,x,100,none,g,r
pilot15,21,A,y,100,none,g,r
pilot15,22,A,x,60,none,g,r
pilot15,23,A,x,70,none,g,r
pilot15,24,A,y,60,none,g,r
pilot15,25,A,mid,50,none,g,r
pilot15,26,A,y,70,none,g,r
pilot15,27,A,mid,50,none,g,r
pilot15,28,A,x,70,none,g,r
pilot15,29,A,y,100,none,g,r
pilot15,350,A,x,100,none,g,r
pilot15,31,A,x,60,none,g,r
pilot15,32,A,y,70,none,g,r
pilot15,33,A,y,60,none,g,r
pilot16,1,A,x,90,none,g,r
pilot16,2,A,y,90,none,g,r
pilot16,3,A,y,55,none,g,r
pilot16,4,A,x,55,none,g,r
pilot16,5,A,x,90,none,g,r
pilot16,6,A,y,90,none,g,r
pilot16,7,A,x,60,none,g,r
pilot16,8,A,y,100,none,g,r
pilot16,9,A,mid,50,none,g,r
pilot16,55,A,x,100,none,g,r
pilot16,11,A,y,70,none,g,r
pilot16,12,A,y,60,none,g,r
pilot16,13,A,x,70,none,g,r
pilot16,14,A,y,70,none,g,r
pilot16,15,A,x,100,none,g,r
pilot16,16,A,y,60,none,g,r
pilot16,17,A,y,100,none,g,r
pilot16,18,A,x,70,none,g,r
pilot16,19,A,mid,50,none,g,r
pilot16,60,A,x,60,none,g,r
pilot16,21,B,y,70,none,g,r
pilot16,22,B,x,100,none,g,r
pilot16,23,B,mid,50,none,g,r
pilot16,24,B,y,100,none,g,r
pilot16,25,B,y,60,none,g,r
pilot16,26,B,x,70,none,g,r
pilot16,27,B,x,60,none,g,r
pilot16,28,B,mid,50,none,g,r
pilot16,29,B,y,70,none,g,r
pilot16,350,B,y,60,none,g,r
pilot16,31,B,x,100,none,g,r
pilot16,32,B,y,100,none,g,r
pilot16,33,B,x,70,none,g,r
pilot16,34,B,x,60,none,g,r
pilot17,1,B,x,90,none,g,r
pilot17,2,B,y,90,none,g,r
pilot17,3,B,y,55,none,g,r
pilot17,4,B,x,55,none,g,r
pilot17,5,B,x,90,none,g,r
pilot17,6,B,y,90,none,g,r
pilot17,7,B,x,60,none,g,r
pilot17,8,B,y,100,none,g,r
pilot17,9,B,mid,50,none,g,r
pilot17,55,B,x,100,none,g,r
pilot17,11,B,y,70,none,g,r
pilot17,12,B,y,60,none,g,r
pilot17,13,B,x,70,none,g,r
pilot17,14,B,y,70,none,g,r
pilot17,15,B,x,100,none,g,r
pilot17,16,B,y,60,none,g,r
pilot17,17,B,y,100,none,g,r
pilot17,18,B,x,70,none,g,r
pilot17,19,B,mid,50,none,g,r
pilot17,60,B,x,60,none,g,r
pilot17,21,A,y,70,none,g,r
pilot17,22,A,x,100,none,g,r
pilot17,23,A,mid,50,none,g,r
