Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,154428,158406,"1",0,70924,70924,"",0,512267,512267,"",0,108528,108528,"",
1,159936,165070,"2",,,,,,,,,,,,,
2,167178,173196,"3",,,,,,,,,,,,,
3,175032,177276,"4",,,,,,,,,,,,,
4,179384,183328,"5",,,,,,,,,,,,,
5,185198,187510,"6",,,,,,,,,,,,,
6,189788,191386,"7",,,,,,,,,,,,,
7,231608,234192,"8",,,,,,,,,,,,,
8,235620,238442,"9",,,,,,,,,,,,,
9,240516,242080,"10",,,,,,,,,,,,,
10,248064,250716,"11",,,,,,,,,,,,,
11,252858,255340,"12",,,,,,,,,,,,,
12,257208,259930,"13",,,,,,,,,,,,,
13,261459,264248,"14",,,,,,,,,,,,,
14,324598,327114,"15",,,,,,,,,,,,,
15,328814,330922,"16",,,,,,,,,,,,,
16,333336,336056,"17",,,,,,,,,,,,,
17,339694,342176,"18",,,,,,,,,,,,,
18,344624,349010,"19",,,,,,,,,,,,,
19,351185,354484,"20",,,,,,,,,,,,,
20,356286,358734,"21",,,,,,,,,,,,,
21,395590,397868,"22",,,,,,,,,,,,,
22,399500,401948,"23",,,,,,,,,,,,,
23,403988,405892,"24",,,,,,,,,,,,,
24,407694,410822,"25",,,,,,,,,,,,,
25,412760,416432,"26",,,,,,,,,,,,,
26,418097,420886,"27",,,,,,,,,,,,,
27,423028,425068,"28",,,,,,,,,,,,,
