Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01
0,244392,247826,1,L,0,88808,88808,,0,553495,553495,,0,28866,28866,
1,249730,251770,2,R,,,,,,,,,,,,
2,253742,256428,3,L,,,,,,,,,,,,
3,258706,265336,4,R,,,,,,,,,,,,
4,268158,272578,5,L,,,,,,,,,,,,
5,274924,280092,6,R,,,,,,,,,,,,
6,282166,284886,7,L,,,,,,,,,,,,
7,343876,347310,8,R,,,,,,,,,,,,
8,349010,352648,9,L,,,,,,,,,,,,
9,354518,358122,10,R,,,,,,,,,,,,
10,361216,366180,11,R,,,,,,,,,,,,
11,368288,379814,12,R,,,,,,,,,,,,
12,382160,385798,13,R,,,,,,,,,,,,
13,387906,389844,14,R,,,,,,,,,,,,
14,470390,475150,15,L,,,,,,,,,,,,
15,477156,481304,16,R,,,,,,,,,,,,
16,483412,485894,17,L,,,,,,,,,,,,
17,487696,491334,18,R,,,,,,,,,,,,
18,493408,499970,19,L,,,,,,,,,,,,
19,501534,506906,20,R,,,,,,,,,,,,
20,509082,512890,21,L,,,,,,,,,,,,
21,568514,571642,22,L,,,,,,,,,,,,
22,574022,580142,23,R,,,,,,,,,,,,
23,582012,583746,24,L,,,,,,,,,,,,
24,585582,590614,25,R,,,,,,,,,,,,
25,593130,595204,26,L,,,,,,,,,,,,
26,597856,599964,27,R,,,,,,,,,,,,
27,601800,604044,28,L,,,,,,,,,,,,
