Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,300934,314874,"1","R",0,508606,508606,"",0,571527,571527,"",0,402390,402390,"",
1,317050,325652,"2","R",,,,,,,,,,,,,
2,327488,332282,"3","L",,,,,,,,,,,,,
3,334118,338470,"4","L",,,,,,,,,,,,,
4,340408,345406,"5","R",,,,,,,,,,,,,
5,347786,352580,"6","L",,,,,,,,,,,,,
6,353872,361760,"7","R",,,,,,,,,,,,,
7,422654,427244,"8","R",,,,,,,,,,,,,
8,428978,431800,"9","L",,,,,,,,,,,,,
9,433704,435948,"10","R",,,,,,,,,,,,,
10,438260,447610,"11","R",,,,,,,,,,,,,
11,449990,452540,"12","L",,,,,,,,,,,,,
12,454274,457980,"13","L",,,,,,,,,,,,,
13,459544,461652,"14","R",,,,,,,,,,,,,
14,519656,521356,"15","R",,,,,,,,,,,,,
15,523090,526150,"16","L",,,,,,,,,,,,,
16,527816,533902,"17","R",,,,,,,,,,,,,
17,535772,548046,"18","R",,,,,,,,,,,,,
18,549950,561884,"19","R",,,,,,,,,,,,,
19,563788,565828,"20","L",,,,,,,,,,,,,
20,567460,572084,"21","L",,,,,,,,,,,,,
21,622302,630530,"22","L",,,,,,,,,,,,,
22,632638,638486,"23","L",,,,,,,,,,,,,
23,640254,642124,"24","L",,,,,,,,,,,,,
24,644164,646170,"25","R",,,,,,,,,,,,,
25,648006,652868,"26","R",,,,,,,,,,,,,
26,654806,660382,"27","R",,,,,,,,,,,,,
27,661946,665142,"28","L",,,,,,,,,,,,,
