Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,
0,279276,281282,"1",
1,282982,286178,"2",
2,287606,290666,"3",
3,292297,296378,"4",
4,298112,300968,"5",
5,302464,305456,"6",
6,307292,310046,"7",
7,353974,362406,"8",
8,364174,367744,"9",
9,369750,371552,"10",
10,373660,376754,"11",
11,379134,381378,"12",
12,384064,387532,"13",
13,390489,394570,"14",
14,452166,455192,"15",
15,457028,459985,"16",
16,461822,468078,"17",
17,469913,473722,"18",
18,475286,478278,"19",
19,480385,483820,"20",
20,485758,488036,"21",
21,542435,545224,"22",
22,547196,551174,"23",
23,553724,558076,"24",
24,560659,563516,"25",
25,565555,568786,"26",
26,570860,573682,"27",
27,575960,579292,"28",
