## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\soc_ref_cat\020918_01-[230c4fe5-fa57-4969-a117-a8b9053844db]\020918_01-eye_data.idf
## Date:	09.02.2018 14:50:06
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	17290                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	020918_01                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
690517664	SMP	1	1541.88	903.89	1257.33	935.86	17.19	17.19	3.08	16.59	16.59	2.99	1537.07	915.84	1546.74	915.80	1254.33	947.60	1263.73	947.79	893.66	100.95	1162.94	41.74	0	1	1	2	-1	-1	-36.88	-29.07	586.30	15.98	-35.61	596.69	0.05	0.49	-0.87	0.04	0.50	-0.86	0		
690551081	SMP	1	1542.04	903.62	1257.37	935.48	17.40	17.40	3.08	16.43	16.43	2.98	1537.06	915.55	1546.74	915.56	1254.35	947.33	1263.74	947.30	892.14	100.65	1163.69	43.97	0	1	1	2	-1	-1	-36.88	-29.02	586.32	15.97	-35.54	596.65	0.05	0.49	-0.87	0.04	0.50	-0.86	0	 -1	
690584340	SMP	1	1541.94	903.51	1257.51	935.15	17.34	17.34	3.07	16.66	16.66	2.98	1537.04	915.31	1546.78	915.22	1254.47	946.92	1263.80	947.07	892.16	102.29	1165.02	45.38	0	1	1	2	-1	-1	-36.87	-28.96	586.18	15.96	-35.49	596.79	0.05	0.49	-0.87	0.04	0.50	-0.86	0	 -1	
690617686	SMP	1	1542.09	903.22	1257.78	934.91	17.21	17.21	3.07	16.57	16.57	2.98	1537.26	915.05	1547.07	914.98	1254.76	946.64	1264.02	946.79	894.39	103.27	1165.51	46.81	0	1	1	2	-1	-1	-36.90	-28.89	585.83	15.92	-35.45	597.17	0.05	0.49	-0.87	0.04	0.50	-0.86	0	 -1	
690651076	SMP	1	1542.38	902.99	1258.08	934.83	17.37	17.37	3.07	16.46	16.46	2.97	1537.50	914.88	1547.38	914.83	1254.99	946.57	1264.50	946.66	894.70	104.11	1166.39	48.82	0	1	1	2	-1	-1	-36.91	-28.84	585.32	15.84	-35.40	596.54	0.05	0.49	-0.87	0.04	0.50	-0.86	0	 -1	
690684333	SMP	1	1542.35	903.21	1258.09	935.19	17.53	17.53	3.07	16.98	16.98	2.99	1537.62	914.90	1547.40	914.86	1255.17	946.72	1264.61	946.96	896.38	106.59	1168.54	52.65	0	1	1	2	-1	-1	-36.92	-28.84	585.23	15.81	-35.43	596.42	0.06	0.48	-0.87	0.05	0.50	-0.87	0	 -1	
690717662	SMP	1	1531.99	903.59	1247.96	935.63	17.64	17.64	3.08	16.10	16.10	2.97	1531.85	915.27	1541.53	915.43	1250.25	947.50	1259.70	948.03	1307.83	105.15	1699.53	43.88	0	1	1	2	-1	-1	-35.86	-28.94	585.48	16.73	-35.60	596.21	0.23	0.48	-0.85	0.25	0.51	-0.82	0	 -1	
690750968	SMP	1	1530.21	903.81	1246.76	936.05	17.41	17.41	3.07	16.16	16.16	2.95	1531.13	915.50	1540.60	915.68	1249.63	948.05	1259.11	948.53	1387.90	103.72	1742.90	33.27	0	1	1	2	-1	-1	-35.77	-29.03	586.46	16.84	-35.68	596.01	0.26	0.48	-0.84	0.27	0.51	-0.81	0	 -1	
690784302	SMP	1	1530.35	903.46	1246.68	936.28	17.58	17.58	3.08	16.25	16.25	2.95	1531.18	915.25	1540.61	915.40	1249.50	948.18	1259.14	948.90	1386.00	101.02	1750.47	27.06	0	1	1	2	-1	-1	-35.84	-29.04	587.60	16.82	-35.68	595.08	0.26	0.49	-0.83	0.27	0.51	-0.81	0	 -1	
690817629	SMP	1	1529.86	902.93	1246.37	936.26	17.15	17.15	3.07	16.10	16.10	2.93	1530.76	914.83	1540.30	915.08	1249.16	948.21	1258.83	948.93	1392.47	94.16	1751.32	20.61	0	1	1	2	-1	-1	-35.78	-28.98	587.78	16.86	-35.62	594.15	0.26	0.49	-0.83	0.27	0.52	-0.81	0	 -1	
