## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\soc_ref_cat\020918_02-[1650a031-1303-48d6-ab50-19a352d36b31]\020918_02-eye_data.idf
## Date:	09.02.2018 15:23:57
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	14957                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	020918_02                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(981;572)
## Calibration Point 1:	Position(776;439)
## Calibration Point 2:	Position(1350;502)
## Calibration Point 3:	Position(1310;812)
## Calibration Point 4:	Position(674;848)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2722244208	SMP	1	1332.91	1100.87	1124.79	1125.93	18.28	18.28	4.16	17.81	17.81	4.07	1333.13	1103.93	1338.93	1103.98	1125.92	1129.72	1131.79	1129.59	1248.93	660.81	1142.52	652.59	0	1	1	2	-1	-1	1.80	-83.24	762.02	51.83	-89.40	761.56	0.15	0.26	-0.95	0.14	0.29	-0.95	0	 -1	
2722277506	SMP	1	1333.71	1101.32	1125.50	1125.78	18.39	18.39	4.17	17.63	17.63	4.07	1333.96	1104.58	1339.80	1104.67	1126.87	1129.74	1132.45	1129.66	1246.49	660.07	1140.77	651.59	0	1	1	2	-1	-1	1.60	-83.31	761.16	51.80	-89.70	764.02	0.15	0.27	-0.95	0.14	0.30	-0.94	0	 -1	
2722310809	SMP	1	1334.82	1101.58	1126.56	1125.57	18.10	18.10	4.17	17.24	17.24	4.05	1334.97	1104.62	1340.83	1104.74	1127.77	1129.43	1133.34	1129.37	1242.78	661.71	1138.65	651.55	0	1	1	2	-1	-1	1.35	-83.24	760.39	51.66	-89.74	765.01	0.15	0.26	-0.95	0.14	0.30	-0.94	0	 -1	
2722344139	SMP	1	1335.85	1101.25	1127.24	1124.88	18.00	18.00	4.16	17.30	17.30	4.04	1335.98	1104.46	1341.73	1104.53	1128.54	1128.80	1134.15	1128.61	1238.67	661.85	1138.74	650.50	0	1	1	2	-1	-1	1.12	-83.26	761.00	51.49	-89.62	765.42	0.15	0.26	-0.95	0.14	0.30	-0.94	0	 -1	
2722377439	SMP	1	1336.63	1101.14	1127.99	1124.06	18.07	18.07	4.16	17.19	17.19	4.03	1336.73	1104.13	1342.52	1104.23	1129.25	1128.03	1135.07	1127.73	1234.53	663.40	1137.40	650.50	0	1	1	2	-1	-1	0.93	-83.15	760.67	51.13	-89.14	763.05	0.15	0.25	-0.96	0.14	0.30	-0.94	0	 -1	
2722410773	SMP	1	1336.48	1100.97	1128.45	1123.72	17.89	17.89	4.15	17.47	17.47	4.03	1337.05	1104.11	1342.83	1104.29	1129.68	1127.61	1135.24	1127.44	1238.94	662.56	1135.22	650.31	0	1	1	2	-1	-1	0.86	-83.14	760.59	51.27	-89.42	766.12	0.17	0.26	-0.95	0.14	0.30	-0.94	0	 -1	
2722444102	SMP	1	1336.92	1101.32	1128.43	1123.30	17.91	17.91	4.14	16.94	16.94	4.01	1337.18	1104.40	1342.92	1104.47	1129.81	1127.43	1135.36	1127.39	1233.95	663.83	1134.71	648.39	0	1	1	2	-1	-1	0.83	-83.21	760.67	51.30	-89.49	767.03	0.15	0.26	-0.95	0.14	0.31	-0.94	0	 -1	
2722477439	SMP	1	1336.48	1101.40	1128.22	1123.65	17.51	17.51	4.12	17.21	17.21	4.01	1336.84	1104.73	1342.70	1104.82	1129.56	1127.70	1135.17	1127.54	1234.36	662.60	1133.68	646.61	0	1	1	2	-1	-1	0.90	-83.20	759.79	51.36	-89.56	767.14	0.16	0.27	-0.95	0.14	0.31	-0.94	0	 -1	
2722510774	SMP	1	1336.10	1101.98	1127.95	1124.20	17.73	17.73	4.11	17.33	17.33	4.01	1336.51	1105.01	1342.27	1105.14	1129.22	1127.95	1135.00	1127.73	1233.69	663.95	1134.04	648.86	0	1	1	2	-1	-1	0.99	-83.31	760.20	51.29	-89.38	765.14	0.16	0.26	-0.95	0.14	0.29	-0.95	0	 -1	
2722544105	SMP	1	1335.77	1101.98	1127.58	1124.32	17.96	17.96	4.11	17.20	17.20	4.01	1336.02	1105.13	1341.79	1105.29	1128.83	1128.07	1134.51	1127.99	1231.12	664.01	1133.82	649.52	0	1	1	2	-1	-1	1.11	-83.34	760.14	51.47	-89.56	766.28	0.15	0.26	-0.95	0.14	0.29	-0.95	0	 -1	
