## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\soc_ref_cat\021418_01-[3b44ba71-a43a-45ad-a517-202284336bb6]\021418_01-eye_data.idf
## Date:	14.02.2018 15:06:12
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	16162                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	021418_01                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
887636951	SMP	1	1614.23	886.86	1423.67	873.21	13.70	13.70	3.46	14.21	14.21	3.65	1602.17	884.68	1607.18	884.74	1413.02	871.72	1417.78	871.63	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-67.59	-32.41	816.11	-19.37	-30.23	849.69	-0.43	-0.08	-0.90	-0.43	-0.05	-0.90	0	 -1	
887670374	SMP	1	1615.46	885.03	1424.98	871.62	13.81	13.81	3.47	14.32	14.32	3.66	1603.63	882.84	1608.30	882.80	1414.30	869.96	1418.88	869.99	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-69.77	-32.78	838.31	-19.80	-29.94	854.48	-0.44	-0.08	-0.90	-0.44	-0.06	-0.90	0	 -1	
887703613	SMP	1	1615.57	883.02	1425.18	869.77	13.74	13.74	3.46	14.18	14.18	3.66	1603.67	880.87	1608.42	880.82	1414.65	868.24	1419.03	868.39	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-69.32	-32.04	832.62	-20.09	-29.81	863.71	-0.43	-0.08	-0.90	-0.44	-0.05	-0.90	0	 -1	
887737012	SMP	1	1614.59	881.28	1424.15	868.55	13.78	13.78	3.46	14.29	14.29	3.66	1602.64	878.95	1607.55	879.11	1413.33	866.88	1417.96	866.73	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-68.47	-31.29	825.42	-19.57	-29.11	855.37	-0.43	-0.08	-0.90	-0.45	-0.07	-0.89	0	 -1	
887770260	SMP	1	1611.37	879.94	1420.50	867.72	13.83	13.83	3.45	14.41	14.41	3.67	1599.54	877.35	1604.64	877.50	1410.23	865.89	1414.80	865.69	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-67.06	-30.58	817.80	-18.75	-28.89	856.97	-0.41	-0.10	-0.90	-0.42	-0.08	-0.90	0	 -1	
887803597	SMP	1	1606.37	876.99	1415.08	865.62	13.95	13.95	3.45	14.38	14.38	3.67	1594.77	874.12	1599.72	874.29	1404.82	863.72	1409.48	863.57	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-66.21	-29.94	822.92	-17.25	-28.23	854.77	-0.41	-0.11	-0.90	-0.42	-0.08	-0.91	0	 -1	
887836937	SMP	1	1598.73	871.10	1406.14	860.28	13.89	13.89	3.45	14.44	14.44	3.68	1587.27	868.18	1592.18	868.31	1395.89	858.15	1400.47	858.24	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-64.37	-28.43	824.45	-14.86	-26.82	856.89	-0.41	-0.12	-0.91	-0.42	-0.09	-0.90	0	 -1	
887870262	SMP	1	1589.62	864.11	1395.15	855.37	13.93	13.93	3.44	14.49	14.49	3.69	1577.83	861.13	1582.93	861.35	1384.89	853.04	1389.35	853.19	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-61.49	-26.41	818.67	-11.90	-25.55	860.52	-0.42	-0.12	-0.90	-0.43	-0.10	-0.90	0	 -1	
887903603	SMP	1	1579.31	856.95	1383.10	851.66	13.98	13.98	3.45	14.30	14.30	3.68	1567.63	853.99	1572.61	854.20	0.00	0.00	1378.03	849.45	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-59.03	-24.64	821.42	-8.69	-24.32	852.59	-0.42	-0.12	-0.90	-0.40	-0.10	-0.91	0	 -1	
887936923	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
