## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\soc_ref_cat\042718_02-[444c2316-c326-42c9-80bf-d4b706fdea37]\042718_02-eye_data.idf
## Date:	27.04.2018 10:05:13
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	18808                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	042718_02                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(907;540)
## Calibration Point 1:	Position(696;382)
## Calibration Point 2:	Position(1299;438)
## Calibration Point 3:	Position(1245;785)
## Calibration Point 4:	Position(614;771)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
3383824349	SMP	1	0.00	0.00	1892.36	735.77	0.00	0.00	0.00	18.58	18.58	3.48	0.00	0.00	0.00	0.00	1890.94	735.22	1899.52	735.40	0.00	0.00	939.12	558.61	0	0	1	1	-1	-1	0.00	0.00	0.00	-109.57	4.81	626.41	0.00	0.00	0.00	0.28	-0.03	-0.96	0	 -1	
3383857638	SMP	1	0.00	0.00	1896.01	738.84	0.00	0.00	0.00	18.51	18.51	3.49	0.00	0.00	0.00	0.00	1894.78	738.18	1903.36	738.40	0.00	0.00	939.94	559.58	0	0	1	1	-1	-1	0.00	0.00	0.00	-110.14	4.21	625.32	0.00	0.00	0.00	0.29	-0.03	-0.96	0	 -1	
3383891022	SMP	1	0.00	0.00	1888.57	739.39	0.00	0.00	0.00	18.42	18.42	3.50	0.00	0.00	0.00	0.00	1892.08	740.96	1900.30	741.02	0.00	0.00	1264.69	572.91	0	0	1	1	-1	-1	0.00	0.00	0.00	-110.25	3.69	629.18	0.00	0.00	0.00	0.46	0.06	-0.89	0	 -1	
3383924299	SMP	1	0.00	0.00	1878.89	742.19	0.00	0.00	0.00	17.95	17.95	3.48	0.00	0.00	0.00	0.00	1886.52	745.23	1895.05	745.03	0.00	0.00	1564.01	625.13	0	0	1	1	-1	-1	0.00	0.00	0.00	-108.61	2.85	625.93	0.00	0.00	0.00	0.61	0.11	-0.79	0	 -1	
3383957626	SMP	1	2097.44	705.49	0.00	0.00	19.53	19.53	3.61	0.00	0.00	0.00	2103.00	709.68	2111.91	709.43	0.00	0.00	0.00	0.00	1712.57	609.24	0.00	0.00	0	1	0	1	-1	-1	-150.01	9.81	619.35	0.00	0.00	0.00	0.58	0.15	-0.80	0.00	0.00	0.00	0	 -1	
3383990969	SMP	1	0.00	0.00	1869.39	751.92	0.00	0.00	0.00	17.91	17.91	3.46	0.00	0.00	0.00	0.00	1877.92	754.85	1886.87	754.79	0.00	0.00	1615.06	652.96	0	0	1	1	-1	-1	0.00	0.00	0.00	-105.97	0.92	620.25	0.00	0.00	0.00	0.64	0.11	-0.76	0	 -1	
3384024291	SMP	1	2080.20	707.08	0.00	0.00	19.73	19.73	3.64	0.00	0.00	0.00	2085.69	710.98	2094.65	710.94	0.00	0.00	0.00	0.00	1704.99	632.46	0.00	0.00	0	1	0	1	-1	-1	-145.46	9.46	614.49	0.00	0.00	0.00	0.58	0.14	-0.81	0.00	0.00	0.00	0	 -1	
3384057625	SMP	1	2072.20	707.96	0.00	0.00	19.53	19.53	3.65	0.00	0.00	0.00	2077.82	711.91	2086.67	711.87	0.00	0.00	0.00	0.00	1704.73	642.53	0.00	0.00	0	1	0	1	-1	-1	-143.98	9.28	614.74	0.00	0.00	0.00	0.58	0.14	-0.80	0.00	0.00	0.00	0	 -1	
3384090960	SMP	1	2066.19	708.78	0.00	0.00	19.59	19.59	3.65	0.00	0.00	0.00	2071.72	712.83	2080.64	712.74	0.00	0.00	0.00	0.00	1701.48	649.30	0.00	0.00	0	1	0	1	-1	-1	-142.15	9.07	611.97	0.00	0.00	0.00	0.57	0.15	-0.81	0.00	0.00	0.00	0	 -1	
3384124282	SMP	1	2063.85	709.28	0.00	0.00	19.23	19.23	3.65	0.00	0.00	0.00	2069.25	713.05	2078.29	713.03	0.00	0.00	0.00	0.00	1696.26	652.40	0.00	0.00	0	1	0	1	-1	-1	-140.91	8.97	608.62	0.00	0.00	0.00	0.57	0.14	-0.81	0.00	0.00	0.00	0	 -1	
