Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,276896,279174,"1","R",0,190842,190842,"",0,507455,507455,"",0,74360,74360,"",
1,281078,283832,"2","R",,,,,,,,,,,,,
2,287810,287810,"3","R",,,,,,,,,,,,,
3,289884,292604,"4","L",,,,,,,,,,,,,
4,294406,297058,"5","R",,,,,,,,,,,,,
5,299166,301954,"6","R",,,,,,,,,,,,,
6,303688,305728,"7","R",,,,,,,,,,,,,
7,356490,358734,"8","R",,,,,,,,,,,,,
8,360910,363596,"9","L",,,,,,,,,,,,,
9,365330,367744,"10","R",,,,,,,,,,,,,
10,369512,371348,"11","R",,,,,,,,,,,,,
11,373524,376686,"12","L",,,,,,,,,,,,,
12,378590,381752,"13","R",,,,,,,,,,,,,
13,383792,386580,"14","R",,,,,,,,,,,,,
14,455294,461210,"15","R",,,,,,,,,,,,,
15,462808,467772,"16","R",,,,,,,,,,,,,
16,469404,471988,"17","L",,,,,,,,,,,,,
17,474266,475932,"18","R",,,,,,,,,,,,,
18,478006,481576,"19","R",,,,,,,,,,,,,
19,483208,488410,"20","L",,,,,,,,,,,,,
20,489736,492558,"21","L",,,,,,,,,,,,,
21,562054,574124,"22","L",,,,,,,,,,,,,
22,575926,581808,"23","R",,,,,,,,,,,,,
23,584120,586636,"24","R",,,,,,,,,,,,,
24,588778,592518,"25","R",,,,,,,,,,,,,
25,594320,596496,"26","R",,,,,,,,,,,,,
26,598944,601018,"27","L",,,,,,,,,,,,,
27,602990,605880,"28","L",,,,,,,,,,,,,
