sid,condition,trial,response
070717_01pilot,pilot1,1,b
070717_01pilot,pilot1,2,r
070717_01pilot,pilot1,3,r
070717_01pilot,pilot1,4,b
070717_01pilot,pilot1,5,b
070717_01pilot,pilot1,6,r
070717_01pilot,pilot1,7,b
070717_01pilot,pilot1,8,r
070717_01pilot,pilot1,9,b
070717_01pilot,pilot1,10,r
070717_01pilot,pilot1,11,b
070717_01pilot,pilot1,12,r
070717_01pilot,pilot1,13,b
070717_01pilot,pilot1,14,r
070717_01pilot,pilot1,15,r
070717_01pilot,pilot1,16,b
070717_01pilot,pilot1,17,b
070717_01pilot,pilot1,18,r
070717_01pilot,pilot1,19,r
070717_02pilot,pilot2,1,r
070717_02pilot,pilot2,2,b
070717_02pilot,pilot2,3,r
070717_02pilot,pilot2,4,b
070717_02pilot,pilot2,5,b
070717_02pilot,pilot2,6,r
070717_02pilot,pilot2,7,b
070717_02pilot,pilot2,8,r
070717_02pilot,pilot2,9,r
070717_02pilot,pilot2,10,r
070717_02pilot,pilot2,11,b
070717_02pilot,pilot2,12,r
070717_02pilot,pilot2,13,b
070717_02pilot,pilot2,14,r
070717_02pilot,pilot2,15,r
070717_02pilot,pilot2,16,r
070717_02pilot,pilot2,17,b
070717_02pilot,pilot2,18,r
070717_02pilot,pilot2,19,r
070717_03pilot,pilot3,1,r
070717_03pilot,pilot3,2,b
070717_03pilot,pilot3,3,b
070717_03pilot,pilot3,4,b
070717_03pilot,pilot3,5,b
070717_03pilot,pilot3,6,r
070717_03pilot,pilot3,7,b
070717_03pilot,pilot3,8,b
070717_03pilot,pilot3,9,r
070717_03pilot,pilot3,10,b
070717_03pilot,pilot3,11,b
070717_03pilot,pilot3,12,b
070717_03pilot,pilot3,13,b
070717_03pilot,pilot3,14,r
070717_03pilot,pilot3,15,r
070717_03pilot,pilot3,16,b
070717_03pilot,pilot3,17,r
070717_03pilot,pilot3,18,b
070717_03pilot,pilot3,19,b
071217_01,pilot4,1,b
071217_01,pilot4,2,r
071217_01,pilot4,3,b
071217_01,pilot4,4,r
071217_01,pilot4,5,b
071217_01,pilot4,6,r
071217_01,pilot4,7,b
071217_01,pilot4,8,r
071217_01,pilot4,9,b
071217_01,pilot4,10,r
071217_01,pilot4,11,b
071217_01,pilot4,12,r
071217_01,pilot4,13,r
071217_01,pilot4,14,r
071217_01,pilot4,15,r
071217_01,pilot4,16,b
071217_01,pilot4,17,r
071217_01,pilot4,18,b
071217_01,pilot4,19,r
071217_01,pilot4,20,r
071217_01,pilot4,21,b
071217_01,pilot4,22,r
071217_01,pilot4,23,b
071217_01,pilot4,24,r
071217_01,pilot4,25,r
071217_01,pilot4,26,b
071217_01,pilot4,27,r
071217_01,pilot4,28,r
071217_01,pilot4,29,r
071217_01,pilot4,30,r
071217_01,pilot4,31,b
071217_01,pilot4,32,b
071217_01,pilot4,33,r
071217_03,pilot5,1,b
071217_03,pilot5,2,b
071217_03,pilot5,3,b
071217_03,pilot5,4,b
071217_03,pilot5,5,b
071217_03,pilot5,6,b
071217_03,pilot5,7,b
071217_03,pilot5,8,b
071217_03,pilot5,9,b
071217_03,pilot5,10,b
071217_03,pilot5,11,b
071217_03,pilot5,12,b
071217_03,pilot5,13,b
071217_03,pilot5,14,b
071217_03,pilot5,15,b
071217_03,pilot5,16,b
071217_03,pilot5,17,b
071217_03,pilot5,18,b
071217_03,pilot5,19,b
071217_03,pilot5,20,r
071217_03,pilot5,21,b
071217_03,pilot5,22,r
071217_03,pilot5,23,b
071217_03,pilot5,24,r
071217_03,pilot5,25,r
071217_03,pilot5,26,b
071217_03,pilot5,27,b
071217_03,pilot5,28,b
071217_03,pilot5,29,b
071217_03,pilot5,30,r
071217_03,pilot5,31,r
071217_03,pilot5,32,r
071217_03,pilot5,33,r
071217_04,pilot8,1,b
071217_04,pilot8,2,r
071217_04,pilot8,3,r
071217_04,pilot8,4,r
071217_04,pilot8,5,b
071217_04,pilot8,6,b
071217_04,pilot8,7,b
071217_04,pilot8,8,b
071217_04,pilot8,9,b
071217_04,pilot8,10,b
071217_04,pilot8,11,b
071217_04,pilot8,12,b
071217_04,pilot8,13,b
071217_04,pilot8,14,r
071217_04,pilot8,15,b
071217_04,pilot8,16,b
071217_04,pilot8,17,r
071217_04,pilot8,18,b
071217_04,pilot8,19,b
071217_04,pilot8,20,b
071217_04,pilot8,21,b
071217_04,pilot8,22,b
071217_04,pilot8,23,r
071217_04,pilot8,24,r
071217_04,pilot8,25,r
071217_04,pilot8,26,r
071217_04,pilot8,27,b
071217_04,pilot8,28,r
071217_04,pilot8,29,b
071217_04,pilot8,30,b
071217_04,pilot8,31,r
071217_04,pilot8,32,r
071217_04,pilot8,33,r
071217_05,pilot9,1,b
071217_05,pilot9,2,r
071217_05,pilot9,3,r
071217_05,pilot9,4,r
071217_05,pilot9,5,b
071217_05,pilot9,6,b
071217_05,pilot9,7,r
071217_05,pilot9,8,r
071217_05,pilot9,9,r
071217_05,pilot9,10,r
071217_05,pilot9,11,r
071217_05,pilot9,12,r
071217_05,pilot9,13,r
071217_05,pilot9,14,r
071217_05,pilot9,15,r
071217_05,pilot9,16,r
071217_05,pilot9,17,b
071217_05,pilot9,18,r
071217_05,pilot9,19,r
071217_05,pilot9,20,b
071217_05,pilot9,21,r
071217_05,pilot9,22,r
071217_05,pilot9,23,b
071217_05,pilot9,24,r
071217_05,pilot9,25,b
071217_05,pilot9,26,b
071217_05,pilot9,27,b
071217_05,pilot9,28,r
071217_05,pilot9,29,r
071217_05,pilot9,30,b
071217_05,pilot9,31,b
071217_05,pilot9,32,r
071217_05,pilot9,33,b
071417_02,pilot6,1,b
071417_02,pilot6,2,r
071417_02,pilot6,3,b
071417_02,pilot6,4,r
071417_02,pilot6,5,b
071417_02,pilot6,6,b
071417_02,pilot6,7,r
071417_02,pilot6,8,b
071417_02,pilot6,9,b
071417_02,pilot6,10,r
071417_02,pilot6,11,b
071417_02,pilot6,12,r
071417_02,pilot6,13,b
071417_02,pilot6,14,r
071417_02,pilot6,15,r
071417_02,pilot6,16,r
071417_02,pilot6,17,b
071417_02,pilot6,18,r
071417_02,pilot6,19,b
071417_02,pilot6,20,b
071417_02,pilot6,21,r
071417_02,pilot6,22,b
071417_02,pilot6,23,r
071417_02,pilot6,24,r
071417_02,pilot6,25,r
071417_02,pilot6,26,r
071417_02,pilot6,27,b
071417_02,pilot6,28,r
071417_02,pilot6,29,r
071417_02,pilot6,30,r
071417_02,pilot6,31,r
071417_02,pilot6,32,r
071417_02,pilot6,33,b
071416_03,pilot7,1,b
071416_03,pilot7,2,r
071416_03,pilot7,3,b
071416_03,pilot7,4,b
071416_03,pilot7,5,b
071416_03,pilot7,6,b
071416_03,pilot7,7,b
071416_03,pilot7,8,b
071416_03,pilot7,9,b
071416_03,pilot7,10,b
071416_03,pilot7,11,b
071416_03,pilot7,12,b
071416_03,pilot7,13,b
071416_03,pilot7,14,b
071416_03,pilot7,15,b
071416_03,pilot7,16,b
071416_03,pilot7,17,b
071416_03,pilot7,18,b
071416_03,pilot7,19,b
071416_03,pilot7,20,b
071416_03,pilot7,21,r
071416_03,pilot7,22,b
071416_03,pilot7,23,r
071416_03,pilot7,24,b
071416_03,pilot7,25,b
071416_03,pilot7,26,r
071416_03,pilot7,27,b
071416_03,pilot7,28,b
071416_03,pilot7,29,b
071416_03,pilot7,30,b
071416_03,pilot7,31,b
071416_03,pilot7,32,b
071416_03,pilot7,33,b
071417_04,pilot10,1,b
071417_04,pilot10,2,r
071417_04,pilot10,3,b
071417_04,pilot10,4,r
071417_04,pilot10,5,b
071417_04,pilot10,6,b
071417_04,pilot10,7,r
071417_04,pilot10,8,r
071417_04,pilot10,9,b
071417_04,pilot10,10,r
071417_04,pilot10,11,r
071417_04,pilot10,12,b
071417_04,pilot10,13,r
071417_04,pilot10,14,r
071417_04,pilot10,15,b
071417_04,pilot10,16,r
071417_04,pilot10,17,b
071417_04,pilot10,18,b
071417_04,pilot10,19,r
071417_04,pilot10,20,r
071417_04,pilot10,21,b
071417_04,pilot10,22,r
071417_04,pilot10,23,b
071417_04,pilot10,24,r
071417_04,pilot10,25,b
071417_04,pilot10,26,r
071417_04,pilot10,27,b
071417_04,pilot10,28,r
071417_04,pilot10,29,r
071417_04,pilot10,30,b
071417_04,pilot10,31,b
071417_04,pilot10,32,b
071417_04,pilot10,33,b
071417_05,pilot11,1,b
071417_05,pilot11,2,r
071417_05,pilot11,3,b
071417_05,pilot11,4,b
071417_05,pilot11,5,b
071417_05,pilot11,6,r
071417_05,pilot11,7,b
071417_05,pilot11,8,r
071417_05,pilot11,9,r
071417_05,pilot11,10,r
071417_05,pilot11,11,r
071417_05,pilot11,12,r
071417_05,pilot11,13,r
071417_05,pilot11,14,r
071417_05,pilot11,15,r
071417_05,pilot11,16,r
071417_05,pilot11,17,r
071417_05,pilot11,18,r
071417_05,pilot11,19,r
071417_05,pilot11,20,r
071417_05,pilot11,21,b
071417_05,pilot11,22,r
071417_05,pilot11,23,b
071417_05,pilot11,24,r
071417_05,pilot11,25,r
071417_05,pilot11,26,r
071417_05,pilot11,27,r
071417_05,pilot11,28,r
071417_05,pilot11,29,r
071417_05,pilot11,30,r
071417_05,pilot11,31,b
071417_05,pilot11,32,r
071417_05,pilot11,33,b
071417_06,pilot10,1,b
071417_06,pilot10,2,
071417_06,pilot10,3,
071417_06,pilot10,4,r
071417_06,pilot10,5,b
071417_06,pilot10,6,b
071417_06,pilot10,7,r
071417_06,pilot10,8,r
071417_06,pilot10,9,b
071417_06,pilot10,10,r
071417_06,pilot10,11,b
071417_06,pilot10,12,b
071417_06,pilot10,13,b
071417_06,pilot10,14,r
071417_06,pilot10,15,b
071417_06,pilot10,16,r
071417_06,pilot10,17,b
071417_06,pilot10,18,b
071417_06,pilot10,19,r
071417_06,pilot10,20,r
071417_06,pilot10,21,b
071417_06,pilot10,22,r
071417_06,pilot10,23,r
071417_06,pilot10,24,r
071417_06,pilot10,25,b
071417_06,pilot10,26,r
071417_06,pilot10,27,b
071417_06,pilot10,28,r
071417_06,pilot10,29,b
071417_06,pilot10,30,b
071417_06,pilot10,31,r
071417_06,pilot10,32,b
071417_06,pilot10,33,r
071417_07,pilot12,1,b
071417_07,pilot12,2,r
071417_07,pilot12,3,b
071417_07,pilot12,4,b
071417_07,pilot12,5,b
071417_07,pilot12,6,b
071417_07,pilot12,7,b
071417_07,pilot12,8,b
071417_07,pilot12,9,b
071417_07,pilot12,10,r
071417_07,pilot12,11,b
071417_07,pilot12,12,b
071417_07,pilot12,13,b
071417_07,pilot12,14,b
071417_07,pilot12,15,r
071417_07,pilot12,16,r
071417_07,pilot12,17,r
071417_07,pilot12,18,b
071417_07,pilot12,19,r
071417_07,pilot12,20,b
071417_07,pilot12,21,r
071417_07,pilot12,22,b
071417_07,pilot12,23,r
071417_07,pilot12,24,b
071417_07,pilot12,25,b
071417_07,pilot12,26,b
071417_07,pilot12,27,b
071417_07,pilot12,28,r
071417_07,pilot12,29,b
071417_07,pilot12,30,b
071417_07,pilot12,31,r
071417_07,pilot12,32,r
071417_07,pilot12,33,b
071917_02,pilot13,1,g
071917_02,pilot13,2,r
071917_02,pilot13,3,r
071917_02,pilot13,4,r
